lambda_um	epsilon	I_BB
11.98952	98.32567	85240303.39320274
11.97567	98.33508	85600182.09159145
11.96186	98.23039	85960906.95051816
11.94808	98.03363	86322736.636995
11.93433	97.68712	86685670.61653756
11.92061	97.29828	87049708.3127481
11.90692	97.02844	87414849.10699578
11.89327	96.89165	87780823.52643038
11.87965	96.868	88147896.87719895
11.86605	96.91279	88516340.01291403
11.85249	96.98219	88885610.30196951
11.83896	97.14212	89255977.10477397
11.82546	97.31476	89627439.52568372
11.812	97.56828	89999719.32735586
11.79856	97.9397	90373368.68532766
11.78515	98.44828	90748110.70063622
11.77177	99.0803	91123944.29777324
11.75843	99.67105	91500585.2897222
11.74511	99.9998	91878597.18412377
11.73182	99.9998	92257697.1523499
11.71857	99.9998	92637596.48281725
11.70534	99.9998	93018867.29683638
11.69214	99.9998	93401222.25626034
11.67898	99.7607	93784368.07122119
11.66584	99.3135	94168885.5755752
11.65273	98.84501	94554482.8679713
11.63965	98.42001	94941158.40105504
11.62661	98.09024	95328612.69654544
11.61359	97.65261	95717438.35984974
11.60059	97.32479	96107638.23526335
11.58763	97.11733	96498610.27453232
11.5747	96.96875	96890652.07771893
11.5618	96.81429	97283761.79928738
11.54892	96.61041	97678244.58988917
11.53608	96.35014	98073485.95532383
11.52326	96.06701	98470099.55043745
11.51047	95.82485	98867776.29477409
11.49771	95.697	99266514.10283186
11.48497	95.74189	99666625.68244606
11.47227	95.98284	100067480.7286329
11.45959	96.39901	100469708.27873597
11.44694	96.93016	100872991.20753196
11.43432	97.3634	101277327.18191116
11.42173	97.58826	101682713.81491429
11.40917	97.80185	102089148.66543113
11.39663	97.97379	102496955.24940288
11.38412	98.08532	102905808.24206181
11.37164	98.13169	103315705.055112
11.35918	98.12099	103726973.93231449
11.34675	98.07047	104139284.56077904
11.33435	97.83646	104552634.20232598
11.32198	97.65424	104967020.06251691
11.30963	97.56571	105382776.76360743
11.29731	97.5797	105799567.24658458
11.28502	97.68033	106217388.56354816
11.27275	97.71265	106636580.18598704
11.26051	97.62292	107056799.93295878
11.2483	97.49563	107478044.70043546
11.23611	97.33375	107900658.86188765
11.22395	97.1531	108324295.05642742
11.21182	96.97874	108748950.0212495
11.19971	96.83727	109174973.08463028
11.18763	96.74774	109602011.64766815
11.17557	96.71441	110030418.37786731
11.16354	96.72385	110459837.15773681
11.15154	96.74825	110890264.45969243
11.13956	96.75413	111322057.9956731
11.12761	96.7141	111754856.3118735
11.11568	96.61772	112189020.51929812
11.10378	96.47743	112624185.57997483
11.09191	96.32678	113060347.69429722
